Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA
E0,13-09-2008,Liverpool,Man United,2,1,H,1,1,D,H Webb,16,7,11,3,10,18,5,4,0,3,0,1,3,3,2.6,2.8,3.1,2.4,2.85,3,2.6,2.6,3,2.6,2.62,2.88,2.5,2.8,3.05,2.4,2.88,3,2.63
E0,13-09-2008,Man City,Chelsea,1,3,A,1,1,D,M Halsey,13,18,7,8,14,10,8,5,0,1,0,1,4.33,3.3,1.91,3.9,3.3,1.85,3.75,3.4,1.95,3.8,3.2,1.85,4,3.2,1.8,4,3.25,1.85,4.33,3.25,1.91
E0,13-09-2008,Newcastle,Hull,1,2,A,0,1,A,A Marriner,13,8,4,4,13,17,5,3,0,2,1,0,1.62,3.75,5.75,1.6,3.4,5.5,1.65,3.5,5.5,1.6,3.6,4.8,1.67,3.3,4.5,1.6,3.4,5.5,1.7,3.4,5.5
E0,13-09-2008,Portsmouth,Middlesbrough,2,1,H,0,1,A,S Attwell,21,7,12,3,8,6,3,2,2,1,0,0,2,3.5,3.75,1.95,3.25,3.55,2,3.25,3.6,1.9,3.2,3.6,1.91,3.2,3.5,1.9,3.25,3.75,2,3.4,3.75
E0,13-09-2008,West Brom,West Ham,3,2,H,2,2,D,L Probert,13,21,8,13,9,18,8,8,1,1,0,0,2.4,3.25,3,2.3,3.15,2.9,2.4,3.2,2.9,2.4,3.2,2.6,2.38,3.2,2.6,2.3,3.2,2.8,2.38,3.25,3
E0,13-09-2008,Wigan,Sunderland,1,1,D,0,1,A,R Styles,12,6,8,5,10,9,8,6,1,1,1,0,2.05,3.3,4,1.95,3.25,3.55,2.05,3.2,3.6,2.1,3.1,3.2,2,3.2,3.2,2,3.2,3.5,2.1,3.25,3.6
E0,14-09-2008,Stoke,Everton,2,3,A,0,1,A,A Wiley,12,8,7,5,10,19,7,8,2,1,0,0,3.4,3.4,2.2,3.25,3.15,2.1,3.2,3.2,2.2,3.1,3.2,2.1,3,3.2,2.1,3,3.2,2.2,3.4,3.2,2.2
E0,15-09-2008,Tottenham,Aston Villa,1,2,A,0,1,A,S Bennett,17,17,10,13,15,12,12,8,1,4,0,0,2.1,3.3,3.6,1.95,3.15,3.7,2.05,3.25,3.6,2,3.2,3.3,2.1,3.2,3,1.9,3.25,3.75,2.1,3.25,3.6
E0,20-09-2008,Blackburn,Fulham,1,0,H,0,0,D,L Probert,11,11,4,5,13,11,4,3,2,0,0,0,2.1,3.3,3.6,1.9,3.3,3.65,2.1,3.2,3.5,1.9,3.2,3.6,2.1,3.4,3.4,1.95,3.25,3.6,2.1,3.25,3.6
E0,20-09-2008,Bolton,Arsenal,1,3,A,1,2,A,S Bennett,12,20,8,9,12,10,7,17,2,2,0,0,6.5,3.75,1.57,5.4,3.45,1.6,6,3.3,1.65,4.5,3.5,1.65,6,3.6,1.61,5.5,3.5,1.57,6,3.6,1.62
